Case_ID,Training_Group,Support_Channel,Resolution_Time_Hours,Satisfaction
1,Before Training,Phone,46.1,Satisfied
2,Before Training,Email,42.23,Satisfied
3,Before Training,Email,62.35,Not Satisfied
4,Before Training,Email,53.78,Not Satisfied
5,Before Training,Phone,35.29,Not Satisfied
6,Before Training,Email,45.84,Satisfied
7,Before Training,Chat,45.14,Not Satisfied
8,Before Training,Phone,58.38,Satisfied
9,Before Training,Phone,69.97,Not Satisfied
10,Before Training,Email,85.14,Satisfied
11,Before Training,Chat,46.14,Not Satisfied
12,Before Training,Email,46.1,Not Satisfied
13,Before Training,Chat,20.68,Satisfied
14,Before Training,Phone,52.68,Not Satisfied
15,Before Training,Email,47.87,Satisfied
16,Before Training,Phone,45.85,Not Satisfied
17,Before Training,Email,49.88,Satisfied
18,Before Training,Phone,48.59,Not Satisfied
19,Before Training,Email,66.66,Satisfied
20,Before Training,Email,57.57,Not Satisfied
21,Before Training,Chat,40.41,Not Satisfied
22,Before Training,Phone,39.64,Satisfied
23,Before Training,Email,39.25,Not Satisfied
24,Before Training,Email,51.14,Not Satisfied
25,Before Training,Email,55.46,Not Satisfied
26,Before Training,Chat,59.68,Satisfied
27,Before Training,Phone,51.3,Not Satisfied
28,Before Training,Chat,51.83,Satisfied
29,Before Training,Email,51.01,Not Satisfied
30,Before Training,Email,44.15,Satisfied
31,Before Training,Phone,40.35,Satisfied
32,Before Training,Phone,42.75,Satisfied
33,Before Training,Phone,71.28,Not Satisfied
34,Before Training,Chat,33.79,Satisfied
35,Before Training,Email,64.38,Not Satisfied
36,Before Training,Phone,40.97,Not Satisfied
37,Before Training,Chat,51.32,Satisfied
38,Before Training,Chat,45.85,Not Satisfied
39,Before Training,Phone,48.43,Not Satisfied
40,Before Training,Phone,49.59,Satisfied
41,Before Training,Chat,35.45,Satisfied
42,Before Training,Chat,46.46,Satisfied
43,Before Training,Phone,45.45,Not Satisfied
44,Before Training,Chat,29.74,Satisfied
45,Before Training,Email,43.22,Not Satisfied
46,Before Training,Email,57.73,Not Satisfied
47,Before Training,Chat,57.79,Satisfied
48,Before Training,Phone,51.6,Not Satisfied
49,Before Training,Email,54.81,Not Satisfied
50,Before Training,Chat,44.86,Satisfied
